1	1	选择	网状模型的数据结构是（ ）	树	图	栈	堆	图	0	0
2	1	选择	层次模型的数据结构是（ ）	树	图	栈	堆	树	0	0
3	7	选择	E-R图中，表示实体型的图形是（ ）	矩形	棱形	椭圆形	直线	矩形	0	0
4	7	选择	E-R图中，表示属性的图形是（ ）	矩形	棱形	椭圆形	直线	椭圆形	0	0
5	2	选择	关系模式R(U,D,dom,F)，表示属性集合的是（ ）	U	D	dom	F	U	0	0
6	6	选择	2NF是在1NF的基础上，消除了非主属性对码的（ ）	部分函数依赖	传递函数依赖	多值依赖	连接依赖	部分函数依赖	0	0
7	6	选择	3NF是在2NF的基础上，消除了非主属性对码的（ ）	部分函数依赖	传递函数依赖	多值依赖	连接依赖	传递函数依赖	0	0
8	1	选择	表属于数据库三级模式中的（ ）	模式	物理模式	内模式	外模式	模式	0	0
9	1	选择	视图属于数据库三级模式中的（ ）	模式	物理模式	内模式	外模式	外模式	0	0
10	2	选择	关系是一张二维表，其中一行在某一列上的值对应的概念是（ ）	分量	属性	元祖	关系	分量	0	0
11	2	选择	关系是一张二维表，其中一行对应的概念是（ ）	分量	属性	元祖	关系	元组	0	0
12	11	选择	如果事务T对数据对象D施加了共享锁S，则事务T对D可进行的操作是（ ）	只能读不能写	只能写不能读	可读可写	不能读和写	只能读不能写	0	0
13	11	选择	如果事务T对数据对象D施加了排他锁X，则事务T对D可进行的操作是（ ）	只能读不能写	只能写不能读	可读可写	不能读和写	不能读和写	0	0
14	3	选择	下列关键字打头的语句，不属于DML的是（ ）	CREATE	INSERT	DELETE	UPDATE	CREARTE	0	0
15	3	选择	下列关键字打头的语句，属于DDL的是（ ）	CREATE	INSERT	DELETE	UPDATE	CREATE	0	0
16	7	选择	数据库物理结构设计的成果是（ ）	数据模型	逻辑模型	物理模型	概念模型	物理模型	0	0
17	7	选择	数据库概念结构设计的成果是（ ）	数据模型	逻辑模型	物理模型	概念模型	概念模型	0	0
18	9	选择	关系数据库的代数优化中，应尽早执行（ ）	笛卡尔积	选择	投影	连接	选择	0	0
19	3	选择	在关系数据库中，null表示（ ）	不确定	空字符串	空格	0	不确定	0	0
20	3	选择	在存在下列关键字的SQL语句中，不可能出现Where子句的是（ ）。	Update	Delete	nsert	Alter	Alter	0	0
21	3	选择	在查询语句的Where子句中，如果出现了“age Between 30 and 40”,这个表达式等	age>=30 and age<=40	age>=30 or age<=40	age>30 and age<40	age>30 or age<40	age>=30 and age<=40	0	0
22	5	选择	如果要在一张管理职工工资的表中限制工资的输入范围，应使用（ ）约束。	PRIMARY KEY	FOREIGN KEY	unique	check	check	0	0
23	10	选择	记录数据库事务的每一次更新操作信息的文件是（ ）。	数据文件	索引文件	辅助数据文件	日志文件	日志文件	0	0
24	3	选择	要查询XSH数据库CP表中产品名含有“冰箱”的产品情况，可用（ ）命令。	SELECT * FROM CP WHERE 产品名称 LIKE ‘冰箱’	SELECT * FROM XSH WHERE 产品名称 LIKE ‘冰箱’	SELECT * FROM CP WHERE 产品名称 LIKE ‘%冰箱%’	SELECT * FROM CP WHERE 产品名称=‘冰箱’	SELECT * FROM CP WHERE 产品名称 LIKE ‘%冰箱%’	0	0
25	7	选择	设有储蓄所和储户两个实体，储蓄所有多个储户，储户能够在多个储蓄所存取款，储蓄所与储户之间是（ ）。	一对一的联系	一对多的联系	多对一的联系	多对多的联系	多对多的联系	0	0
26	3	选择	SQL的聚集函数COUNT、SUM、AVG、MAX、MIN不允许出现在查询语句的（ ）子句中。	SELECT	HAVING	GROUP BY……HAVING	WHERE	GROUP BY……HAVING	0	0
27	3	选择	列值为空值（NULL），则说明这一列（ ）。	数值为0	数值为空格	数值是未知的	不存在	数值是未知的	0	0
28	1	选择	数据库的数据一般存放在（ ）中。	内存	CPU	寄存器	磁盘	磁盘	0	0
29	3	选择	在SELECT语句的WHERE子句的条件表达式中，可以匹配0个到多个字符的通配符是（ ）。	*	%	_	?	%	0	0
30	3	选择	下面不属于数据定义功能的SQL语句是（ ）。	CREATE TABLE	CREATE CURSOR	UPDATE	ALTER TABLE	UPDATE	0	0
31	2	选择	假如有两个表的连接是这样的： table_1 INNER JOIN table_2 其中table_	包括table_1中的所有行，不包括table_2的不匹配行	包括table_2中的所有行，不包括table_1的不匹配行	包括和两个表的所有行	只包括table_1和table_2满足条件的行	只包括table_1和table_2满足条件的行	0	0
32	3	选择	对视图的描述错误的是：（ ）。	是一张虚拟的表	在存储视图时存储的是视图的定义	在存储视图时存储的是视图中的数据	可以像查询表一样来查询视图	在存储视图时存储的是视图中的数据	0	0
33	3	选择	在SQL语言中，若要修改某张表的结构，应该使用的修改关键字是（ ）。	ALTER	UPDATE	UPDAET	ALLTER	ALTER	0	0
34	3	选择	数据库管理系统中，能实现对数据库中的数据进行插入、修改、删除的功能称为（ ）。	数据查询功能	数据定义功能	数据操纵功能	数据控制功能	数据操纵功能	0	0
35	5	选择	在关系模型中，实现“关系中不允许出现相同的元组”的约束是通过( )。	候选键	主键	外键	超键	主键	0	0
36	5	选择	关系数据库中，实现表与表之间的联系是通过 （ ）。	实体完整性规则	参照完整性规则	用户定义完整性规则	触发器	参照完整性规则	0	0
37	7	选择	设有部门和职员两个实体，每个职员只能属于一个部门，一个部门可以有多名职员，则部门与职员实体之间是( 	一对一的联系	一对多的联系	多对一的联系	多对多的联系	一对多的联系	0	0
38	5	选择	如果指定参照完整性的删除规则为“级联”，则当删除父表中的记录时（ ）。	系统自动备份父表中被删除记录到一个新表中	若子表中有相关记录，则禁止删除父表中记录	会自动删除子表中所有相关记录	不作参照完整性检查	删除父表记录与子表无关,会自动删除子表中所有相关记录	0	0
39	11	选择	解决并发操作带来的数据不一致问题普遍采用（ ）技术。	封锁	存取控制	恢复	协商	封锁	0	0
40	10	选择	若系统在运行过程中，由于某种原因，造成系统停止运行，致使事务在执行过程中以非控制方式终止，这时内存中	事务故障	系统故障	介质故障	计算机病毒	系统故障	0	0
41	10	选择	（ ）是DBMS的基本单位，它是用户定义的一组逻辑一致的程序序列。	程序	命令	事务	文件	事务	0	0
42	10	选择	事物的四个特性不包括（ ）。	原子性	一致性	持续性	即时性	即时性	0	0
43	10	选择	数据库恢复的基础是利用转储的冗余数据。这些转储的冗余数据包括（ ）。	数据字典、应用程序、审计档案、数据库后备副本	数据字典、应用程序、日志文件、审计档案	日志文件、数据库后备副本	数据字典、应用程序、数据库后备副本	日志文件、数据库后备副本	0	0
44	10	选择	若系统在运行过程中，由于某种硬件故障，使存储在外存上的数据部分损失或全部损失，这种情况称为（ ）。	事务故障	系统故障	介质故障	计算机病毒	介质故障	0	0
45	11	选择	关于“死锁”，下列说法中正确的是（ ）。	死锁是操作系统中的问题，数据库操作中不存在	在数据库操作中防止死锁的方法是禁止两个用户同时操作数据库	当两个用户竞争相同资源时不会发生死锁	只有出现并发操作时，才有可能出现死锁	只有出现并发操作时，才有可能出现死锁	0	0
46	4	选择	下列不属于实现数据库系统安全性的主要技术和方法是（ ）。	存取控制技术	视图技术	审计技术	出入机房登记和加锁	出入机房登记和加锁	0	0
47	1	选择	要保证数据库的逻辑数据独立性，需要修改的是（ ）。	模式与外模式之间的映射	模式与内模式之间的映射	模式	三级模式	模式与外模式之间的映射	0	0
48	1	选择	关系数据模型是目前最重要的一种数据模型，它的三个要素分别是（ ）。	实体完整性、参照完整性、用户自定义完整性	数据结构、关系操作、完整性约束	数据增加、数据修改、数据查询	外模式、模式、内模式	数据结构、关系操作、完整性约束	0	0
49	1	选择	下述（ ）不是DBA数据库管理员的职责 。	完整性约束说明	定义数据库模式	数据库安全	数据库管理系统设计	数据库管理系统设计	0	0
50	2	选择	假设有关系R和S，关系代数表达式R－（R－S）表示的是（ ）。	R∩S	R∪S	R－S	R×S	R∩S	0	0
51	2	判断	超码一定是候选码。					错	0	0
52	2	判断	候选码一定是超码。					对	0	0
53	6	判断	数据库中尽量减少冗余。					对	0	0
54	6	判断	数据库中消除一切数据冗余。					错	0	0
55	2	判断	关系的元祖具有顺序无关性。					对	0	0
56	2	判断	关系的列具有顺序无关性。					对	0	0
57	2	判断	模式是关系的集合。					错	0	0
58	2	判断	关系数据库是关系的集合。					对	0	0
59	6	判断	全码的1NF一定是BCNF。					对	0	0
60	6	判断	单码的1NF一定是2NF。					对	0	0
61	2	判断	基本的关系运算是：并、差、积、选择、投影。					对	0	0
62	2	判断	基本的关系运算是：并、交、积、选择、投影。					错	0	0
63	1	判断	数据库系统就是数据库管理系统。					错	0	0
64	11	判断	冲突可串行化调度一定是可串行化调度。					对	0	0
65	11	判断	可串行化调度一定是冲突可串行化调度。					错	0	0
66	11	判断	遵守两端锁协议的调度一定是可串行化调度。					对	0	0
67	11	判断	可串行化调度一定是遵守两端锁协议。					错	0	0
68	6	判断	2NF是在1NF的基础上，消除了非主属性对码的传递函数依赖。					错	0	0
69	1	判断	在数据库的三级模式结构中内模式可以有多个。					错	0	0
70	1	判断	数据独立性指数据的存储于应用程序无关，数据存储结构的改变不影响应用程序的正常运行。					对	0	0
71	1	判断	三级模式间存在三个映射关系。					错	0	0
72	2	判断	用二维表来表示实体之间联系的模型称为网状模型。					错	0	0
73	1	判断	DBMS不需要操作系统的支持就可以实现其功能。					错	0	0
74	7	判断	在E-R图中，用来表示属性的图形是椭圆形。					对	0	0
75	7	判断	关系模型是目前最常用的数据模型。					对	0	0
76	6	判断	消除了部分函数依赖的1nf的关系模式必是2nf。					对	0	0
77	2	判断	数据表的关键字用于唯一标识一个记录，每个表必须具有一个关键字，主关键字只能由一个字段组成。					错	0	0
78	7	判断	E-R图是由实体、联系和属性3要素组成的。					对	0	0
79	2	判断	关系数据库是用树结构来表示实体之间的联系的。					错	0	0
80	2	判断	空值不同于空字符串或数值零，通常表示未填写、未知（Unknown）、不可用或将在以后添加的数据。					对	0	0
81	3	判断	删除表时，与该表相关联的规则和约束不会被删除。					错	0	0
82	3	判断	SELECT查询数据时，如果使用右连接，则是限制右边表的记录。					错	0	0
83	3	判断	创建视图时不能使用ORDER BY子句。					对	0	0
84	3	判断	可以在表或临时表上创建视图。					错	0	0
85	2	判断	外键的值唯一的标识了表中的一行记录。					错	0	0
86	11	判断	事务死锁后,不用关机也可以解除死锁。					对	0	0
87	8	判断	存储过程在每次执行前都需要编译。					错	0	0
88	8	判断	存储过程允许嵌套，即在一个存储过程中可以调用其他存储过程。					对	0	0
89	1	判断	数据管理是对数据进行分类，组织，编码，存储，检索和维护，是对数据处理的中心问题。					对	0	0
90	2	判断	关系数据操作的操作对象是关系但操作结果不是关系。					错	0	0
91	7	判断	一个工人可以加工多种零件，每一种零件可以由不同的工人来加工。则工人和零件之间为1：N的联系。					错	0	0
92	2	判断	选择是从关系中挑选若干属性组成新的关系的运算。					错	0	0
93	2	判断	关系模型的外码既是本关系的主码，也是另一类关系的主码。					错	0	0
94	11	判断	事务T对关系R加上了排他锁，则T对关系R只能写不能读。					错	0	0
95	10	判断	数据库恢复是使被故障破坏掉的数据恢复到故障前的某种数据一致的状态。					对	0	0
96	7	判断	概念设计依赖于具体的数据库管理系统。					错	0	0
97	10	判断	如果事务结束，就使用SQL语句的COMMIT，使数据恢复到开始之前的状态。					错	0	0
98	8	判断	游标就是用循环控制把主语言的集合操作转化为SQL的单记录操作。					错	0	0
99	10	判断	事务的原子性是指整个事务要么都执行，要么都不执行。					对	0	0
100	6	判断	设X→Y是关系模型R的一个函数依赖，如果存在X的真子集X'使得X'→Y成立，则称Y部分依赖于X。					对	0	0
